# Id DMS EP Mefa Oops DS EPL OopsL DSL ES
S190004 x A x A B x x D B
S190020 A C A D C A B E C
S190031 x x x A A x x C B
S190037 x E C B B A A D D
S190043 x A x B B A x B C
S190079 x A x B B A x B A
S190107 x A A B B x x C D
S190129 x B A A A A x C D
S190132 x x x B A x x A x
S190141 x x x A B x x B A
S190157 x A A A C x x D E
S190164 x A A A A x x A B
S190175 x A A B B A x B D
S190183 A A A B C A x D B
S190184 A C A B B A x C C
S190205 A B B C B A A C E
S190237 A A B B D A x E D
S190294 x A A A B x x D D
S190318 x A x A A x x B A
S190330 x x x x x x x A x
S190334 x x x x B x x B x
S190337 x x x B A x x B C
S190337 x x x B A x x B C
S190356 x A A A B x x D B
S190357 x A x x B A x A A
S190363 x A x B A A x A x
S190383 x A A A D A x C B
S190383 x A A A D A x C B
S190390 x A A A B x x A x
S190423 x A A A A A x A C
S190429 x B A A B x x C D
S190462 A B A B B x A A A
S190462 A B A B B x A A A
S190475 A B A C C A A E C
S190487 x B B B C x x C D
S190490 x A x B B B x C B
S190515 x x x A A x x A B
S190575 x x A A B A x C C
S190582 x A A B A x x A C
S190582 x A A B A x x A C
S190595 x A x x A x x B x
S190602 x A A A A x x x B
S190647 x x A A B x x B B
S190649 x x x A B x x B A
S190649 x x x A B x x B A
S190734 B E C D E A A E D
S190750 x A x A B x x C C
S190777 x B B C B x x E C
S190786 A C A B C A x D C
S190790 A B B B C A x B B
S190792 A B B D B A C D B
S190825 A B B B C A x E C
S190838 A C A B D A A D B
S190840 A C B C C A A B B
S190847 x A A A B A x B C
S190853 A A x A C A x C B
S190856 C C A C E A A D C
S190894 x A A B C x x E D
S190896 A C A A D x x x R
S190896 A C A A D x x x R
S190941 x x A A C x x D C
S190969 B C C C A A x D E
S191127 B B B C C A A D D
S190046 x x A A B x x B B
S190052 x B B B C A x D C
S190055 A B A A C x x B C
S190127 x A B B A x x A E
S190139 x A x A B A x B A
S190146 x x A B B A x D D
S190194 x A A A A A x A C
S190197 x x x A B x x x B
S190211 x C A B B A A A B
S190233 x B B B B A x C A
S190238 x A x B B x x x B
S190254 B D C C D x x E C
S190258 x B B A B x x B B
S190270 x B x A A A x D B
S190277 x A A A B x x x B
S190277 x A A A B x x x B
S190297 x A A B B x x B x
S190317 x x x B A x x A x
S190332 x A A A C x x B A
S190336 x x x A C x x D B
S190384 x B A A C A x D x
S190391 x A A A C x x D C
S190391 x A A A C x x D C
S190393 x B A B C A x D B
S190397 x x x A x x x x A
S190403 x A x A B A x C C
S190407 x x A A A x x A B
S190422 x A x A B A x B B
S190470 x x A B A x x A B
S190474 A A B B B A x C R
S190531 x x x A A x x A A
S190544 x A A B A A x D D
S190559 B B B B B B B B B
S190566 x x x x B x x A C
S190594 x A A B C x x D C
S190631 x A A B C x A D A
S190652 A A A B B x x D A
S190661 x x x A B x x A C
S190665 x A x A B x x B A
S190677 A A A B D x x C x
S190692 x x x B x x x A B
S190718 x H A C C A x C A
S190718 x H A C C A x C A
S190741 B B B A C x x D D
S190742 x x A A A x x B B
